Model,Najniža cijena (€),Prodavnica,Link
Laptop Dell Vostro 3520 i5-1235U/8/512GB/120Hz FHD NOT23208,508.0,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3520-i5-1235u-8-512gb-120hz-fhd-not23208/
Laptop HP 15-fd0094nm A73TMEA i3 N305/8/512/FHD,511.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fd0094nm-a73tmea-i3-n305-8-512-fhd/
Laptop DELL Vostro 3530 15.6'' i5-1334U 8/512GB SSD Intel Iris Xe YU (NOT24666)/,515.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-i5-1334u-8-512gb-ssd-intel-iris-xe-yu-not24666/
"Laptop Dell Vostro 3530 i5-1334U 15.6"" 8/512GB SSD (210-BGLW-006)",519.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-i5-1334u-15-6-8-512gb-ssd-210-bglw-006/
Laptop HP 15-fc0034nm AMD Rzyen 5 7520U/8/512 8C9E0EA,519.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fc0034nm-amd-rzyen-5-7520u-8-512-8c9e0ea/
Laptop Asus X515EA-BQ322w i3-1115G4/8/512 90NB0TY2-M25060,527.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-x515ea-bq322w-i3-1115g4-8-512-90nb0ty2-m25060/
Laptop Asus 90NX0441 i3-1115G4 i3/8/256 90NX0441-M05290,527.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-90nx0441-i3-1115g4-i3-8-256-90nx0441-m05290/
Laptop HP 1255 G10 15.6'' AMD Ryzen5 7530U 16/512GB SSD AK9N8AT#BED,535.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-1255-g10-15-6-amd-ryzen5-7530u-16-512gb-ssd-ak9n8atbed/
"Laptop HP 250 G10 15.6"" i5-1334U 16/512GB SSD (AK9Q2AT)",535.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-250-g10-15-6-i5-1334u-16-512gb-ssd-ak9q2at/
Laptop Acer Aspire A315-57G-36HW i3-1005G1/8/512 NOT18234,535.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-acer-aspire-a315-57g-36hw-i3-1005g1-8-512-not18234/
"Laptop HP 15-fd0062nm 15.6 "" i5-1334U 16/512GB SSD 9R7X4EA",575.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fd0062nm-15-6-i5-1334u-16-512gb-ssd-9r7x4ea/
"Laptop Dell Vostro 3530 i5-1334U/16/512GB/Intel Iris Xe/15,6'' NOT23741",575.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-i5-1334u-16-512gb-intel-iris-xe-15-6-not23741/
Laptop Lenovo V15-IIL i3-1005G1/8/256 Win10 82C500GJYA,591.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-lenovo-v15-iil-i3-1005g1-8-256-win10-82c500gjya/
Laptop HP 15-fc0076nm A74SJEA Ryzen 5 7520U/16/512GB,623.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15-fc0076nm-a74sjea-ryzen-5-7520u-16-512gb/
Laptop HP 15s-fq5066nm FHD 15.6'' i5-1235U/8/512GB SSD 8D089EA,631.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-15s-fq5066nm-fhd-15-6-i5-1235u-8-512gb-ssd-8d089ea/
"Laptop Lenovo V15-ALC 15,6"" Ryzen3 5300U/12/256GB SSD Win10 82KD000QYA",639.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-lenovo-v15-alc-15-6-ryzen3-5300u-12-256gb-ssd-win10-82kd000qya/
Laptop Acer A315-59-50TG i5-1235U/16/512SSD NX.K6VEX.008,663.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-acer-a315-59-50tg-i5-1235u-16-512ssd-nx-k6vex-008/
Laptop Lenovo V15 GEN2 ALC Ryzen 7 5700U/8/256GB Windows 10 Pro 10P 82KD000KYA,679.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-lenovo-v15-gen2-alc-ryzen-7-5700u-8-256gb-windows-10-pro-10p-82kd000kya/
Laptop Asus X1504VA-BQ005 15.6'' i5-1335 16/512GB SSD,711.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-x1504va-bq005-15-6-i5-1335-16-512gb-ssd/
"Laptop DELL Inspiron 3535 15.6"" AMD Ryzen7 7730U 16GB/1TB SSD (NOT24243)",719.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-inspiron-3535-15-6-amd-ryzen7-7730u-16gb-1tb-ssd-not24243/
Laptop Lenovo LOQ 15IAX9I 15.6'' i5-12450HX 8/512GB SSD 83FQ003HYA 144Hz/Gaming,743.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-lenovo-loq-15iax9i-15-6-i5-12450hx-8-512gb-ssd-83fq003hya-144hz-gaming/
Laptop Asus VivoBook Ryzen 7 7330U/16/1TB SSD M1502YA-BQ018 90NB0X21-M00DX0,759.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-vivobook-ryzen-7-7330u-16-1tb-ssd-m1502ya-bq018-90nb0x21-m00dx0/
Laptop Asus X1505ZA-OLED-L521 i5-1235U/16/512GB SSD/Indie Black 90NB0ZB1-M007B0,775.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-x1505za-oled-l521-i5-1235u-16-512gb-ssd-indie-black-90nb0zb1-m007b0/
Laptop Asus X1505ZA-OLED-L511 i5-1235U/8GB/512SSD 90NB0ZB1-M00760,790.4,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-x1505za-oled-l511-i5-1235u-8gb-512ssd-90nb0zb1-m00760/
"Laptop HP Pavilion 15-eh3025nm 15.6"" AMD Ryzen7 7730U 16/512GB SSD (9J528EA)",791.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-pavilion-15-eh3025nm-15-6-amd-ryzen7-7730u-16-512gb-ssd-9j528ea/
Laptop HP 17-cn3042nm 17.3'' i7-1355U 16/512GB SSD Intel Iris (B45DLEA),871.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-hp-17-cn3042nm-17-3-i7-1355u-16-512gb-ssd-intel-iris-b45dlea/
"Apple Macbook Air 13.6"" M2 16/256GB (MC7W4LL/A) Starlight",980.0,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m2-16-256gb-mc7w4ll-a-starlight/
"Apple Macbook Air 13"" M2 16/256GB (MC7X4HN/A) Midnight",980.0,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-13-m2-16-256gb-mc7x4hn-a-midnight/
Apple MacBook Air 13.6 M2 8/256GB (MLXW3ZP/A) Space Gray,999.2,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m2-8-256gb-mlxw3zp-a-space-gray/
Laptop Dell G15 5511 15.6''/i5-11400H/8GB/512GB Backlit sivi 5Y5B,1055.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-g15-5511-15-6-i5-11400h-8gb-512gb-backlit-sivi-5y5b/
"Laptop Acer Nitro 5 AN515 15,6"" Ryzen5 7535HS/16/512/GeForce RTX 3050Ti FHD IPS 144Hz Gaming",1191.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-acer-nitro-5-an515-15-6-ryzen5-7535hs-16-512-geforce-rtx-3050ti-fhd-ips-144hz-gaming/
"Apple Macbook Air 13.6"" M4 16/256GB (MW0W3HN/A) Silver",1224.0,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m4-16-256gb-mw0w3hn-a-silver/
Laptop DELL Latitude 5450 14'' Intel Core Ultra5 125U 8/512GB SSD (NOT24336)/,1273.6,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-latitude-5450-14-intel-core-ultra5-125u-8-512gb-ssd-not24336/
"Laptop Lenovo Yoga Pro 7 14IMH9 Ultra5 125H/32GB/1TB 14.5"" 83E2004HYA",1295.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-lenovo-yoga-pro-7-14imh9-ultra5-125h-32gb-1tb-14-5-83e2004hya/
Apple Macbook Air 13.6'' M3 8/512GB EU (MRXU3LL/A) Starlight,1368.0,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-13-6-m3-8-512gb-eu-mrxu3ll-a-starlight/
Apple MacBook Air 15'' M2 8/256GB (MQKU3E/A) Starlight,1378.4,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-15-m2-8-256gb-mqku3e-a-starlight/
"Apple Macbook Air 15"" M3 8/512GB EU (MRYV3B/A) Midnight",1680.0,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-15-m3-8-512gb-eu-mryv3b-a-midnight/
"Apple Macbook Air 15"" M3 16/512GB EU (MXD23LL/A) Silver",1720.0,Tehnoplus,https://tehnoplus.me/artikli/apple-macbook-air-15-m3-16-512gb-eu-mxd23ll-a-silver/
Laptop Asus K6502VU-OLED-MA531X i5-13500H/16GB/1TB SSD/Win11Pro 90NB1132-M003V0,1759.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-asus-k6502vu-oled-ma531x-i5-13500h-16gb-1tb-ssd-win11pro-90nb1132-m003v0/
Laptop DELL G16 7630 16'' i9-13900HX 32GB/1TB SSD GeForce RTX 4070 8GB Gaming (NOT24049)/,2243.2,Tehnoplus,https://tehnoplus.me/artikli/laptop-dell-g16-7630-16-i9-13900hx-32gb-1tb-ssd-geforce-rtx-4070-8gb-gaming-not24049/
Lenovo IdeaPad 1 15IGL7,268.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15IGL7--95849
"Lenovo IdeaPad 1 15IGL7 Celeron N4500/8GB/256GB SSD/15.6"" grey",269.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15IGL7-Celeron-N4500-8GB-256GB-SSD-15-6-grey--107332
Lenovo 82LX00BFYA,283.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-82LX00BFYA--110686
"Lenovo IdeaPad 1 15IJL7 Celeron N4500 / 8GB / 256GB SSD / 15.6"" FHD / IntelUHD /",291.3,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15IJL7-Celeron-N4500-8GB-256GB-SSD-15-6-FHD-IntelUHD---107349
Lenovo V15 G2 IJL (82QY00QCYA),296.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-V15-G2-IJL-82QY00QCYA---92807
HP 250 G8 N4020,297.0,PC-Gamer,https://pc-gamer.me/p/HP-250-G8-N4020--81479
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U / 8GB DDR5 / 512GB SSD / 15.6,319.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15AMN7-AMD-Ryzen-3-7320U-8GB-DDR5-512GB-SSD-15-6--107639
Lenovo IdeaPad Slim 3 15IAN8,322.4,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IAN8--105114
Lenovo V15 G4 IRU i3-1315U/8GB/256GB SSD/15.6,339.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-i3-1315U-8GB-256GB-SSD-15-6--105256
"acer aspire lite 14 al 14-31p-30k1,i30-n30,8gb,512gb",340.0,PC-Gamer,https://pc-gamer.me/p/acer-aspire-lite-14-al-14-31p-30k1-i30-n30-8gb-512gb--113059
HP 250 G10 Celeron N100/256GB/8GB DDR4/15.6,349.6,PC-Gamer,https://pc-gamer.me/p/HP-250-G10-Celeron-N100-256GB-8GB-DDR4-15-6--113255
HP 250 G10,365.0,PC-Gamer,https://pc-gamer.me/p/HP-250-G10--104542
Lenovo V15 G4 IRU i3-1315U/16GB/512GB SSD/15.6inča FHD IPS/IntelUHD/YU/NoOS/Black,399.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-i3-1315U-16GB-512GB-SSD-15-6in-a-FHD-IPS-IntelUHD-YU-NoOS-Black--107220
HP 250 G10 i3-1315U 16GB 512GB,399.2,PC-Gamer,https://pc-gamer.me/p/HP-250-G10-i3-1315U-16GB-512GB--109953
HP 15-fd0047m i3-N305/8GB/256GB SSD/15.6inch FHD/IntelUHD/NoOS/ChalkboardGray,427.3,PC-Gamer,https://pc-gamer.me/p/HP-15-fd0047m-i3-N305-8GB-256GB-SSD-15-6inch-FHD-IntelUHD-NoOS-ChalkboardGray--101459
ASUS Vivobook Go 15 E1504FA-NJ935,438.0,PC-Gamer,https://pc-gamer.me/p/ASUS-Vivobook-Go-15-E1504FA-NJ935--107606
Asus Vivobook 15 X1504ZA-NJ847,438.9,PC-Gamer,https://pc-gamer.me/p/Asus-Vivobook-15-X1504ZA-NJ847--112119
HP 15-fd0094nm i3-N305,439.0,PC-Gamer,https://pc-gamer.me/p/HP-15-fd0094nm-i3-N305--106842
HP 15-fd0093nm i3-N305 A74SREA,439.0,PC-Gamer,https://pc-gamer.me/p/HP-15-fd0093nm-i3-N305-A74SREA--107019
DELL OEM Vostro 3520 15.6 inch FHD 120Hz,449.0,PC-Gamer,https://pc-gamer.me/p/DELL-OEM-Vostro-3520-15-6-inch-FHD-120Hz--109261
Lenovo 83ER00M1YA,458.3,PC-Gamer,https://pc-gamer.me/p/Lenovo-83ER00M1YA--113152
HP 15-fd0041nm i3-N305/512GB/8GB/15.6inch FHD/Integrated/NoOS/Natural Silver,466.1,PC-Gamer,https://pc-gamer.me/p/HP-15-fd0041nm-i3-N305-512GB-8GB-15-6inch-FHD-Integrated-NoOS-Natural-Silver--111944
HP 15-fd0042nm Intel Core i3-N305/512GB/8GB/15.6 FHD/Integrated/NoOS/Moonlight blue,466.1,PC-Gamer,https://pc-gamer.me/p/HP-15-fd0042nm-Intel-Core-i3-N305-512GB-8GB-15-6-FHD-Integrated-NoOS-Moonlight-blue--111945
Lenovo 83ES0043YA,476.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-83ES0043YA--113154
"LENOVO V15-AMN G4, 82YU00YYYA",477.7,PC-Gamer,https://pc-gamer.me/p/LENOVO-V15-AMN-G4-82YU00YYYA--106216
DELL Inspiron 3535 15.6 inch FHD 120Hz AMD Ryzen 5 7520,479.0,PC-Gamer,https://pc-gamer.me/p/DELL-Inspiron-3535-15-6-inch-FHD-120Hz-AMD-Ryzen-5-7520--108745
HP 255 G10 AK9N9AT,489.0,PC-Gamer,https://pc-gamer.me/p/HP-255-G10-AK9N9AT--113055
Dell Vostro 3530 i5-1334U/8GB/512GB SSD/15.6,497.2,PC-Gamer,https://pc-gamer.me/p/Dell-Vostro-3530-i5-1334U-8GB-512GB-SSD-15-6--110319
LENOVO V15-AMN G4,499.0,PC-Gamer,https://pc-gamer.me/p/LENOVO-V15-AMN-G4--92806
DELL Vostro 3530 15.6 FHD 120Hz i5-1334U,499.0,PC-Gamer,https://pc-gamer.me/p/DELL-Vostro-3530-15-6-FHD-120Hz-i5-1334U--104457
HP 250 G10 9B997EA,499.0,PC-Gamer,https://pc-gamer.me/p/HP-250-G10-9B997EA--113056
ACER Aspire A315 15.6 in,502.3,PC-Gamer,https://pc-gamer.me/p/ACER-Aspire-A315-15-6-in--93525
Acer Aspire 3 A315-44P-R65Z,505.0,PC-Gamer,https://pc-gamer.me/p/Acer-Aspire-3-A315-44P-R65Z--112123
Lenovo IdeaPad Slim 3 Ryzen7 7730U / 16GB / 512GB / 15.6,514.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-Ryzen7-7730U-16GB-512GB-15-6--110248
Lenovo 83K100B6YA,516.6,PC-Gamer,https://pc-gamer.me/p/Lenovo-83K100B6YA--113160
HP NOT 255 G10 R3-7330U 8G512 7N0C5ES,516.8,PC-Gamer,https://pc-gamer.me/p/HP-NOT-255-G10-R3-7330U-8G512-7N0C5ES--105179
HP 250 G10  i5,529.0,PC-Gamer,https://pc-gamer.me/p/HP-250-G10-i5--109767
Lenovo V15 G4 IRU 83A100ABYA,529.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-83A100ABYA--107253
Acer A315-24P-R83E,530.1,PC-Gamer,https://pc-gamer.me/p/Acer-A315-24P-R83E--85346
Lenovo V15 G4 IRU 15.6,538.6,PC-Gamer,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-15-6--100554
HP 15-fd0062nm i5-1334U/16GB/512GB SSD/15.6inch FHD IPS/IntelIrisX/NoOS/NaturalSilver,550.3,PC-Gamer,https://pc-gamer.me/p/HP-15-fd0062nm-i5-1334U-16GB-512GB-SSD-15-6inch-FHD-IPS-IntelIrisX-NoOS-NaturalSilver--109474
"Dell Vostro 3520 15.6"" 120hz/i5-1235U/8gb/512gb",565.2,PC-Gamer,https://pc-gamer.me/p/Dell-Vostro-3520-15-6-120hz-i5-1235U-8gb-512gb--93245
ACER Aspire A515 15.6 Ryzen 5 5625U,568.4,PC-Gamer,https://pc-gamer.me/p/ACER-Aspire-A515-15-6-Ryzen-5-5625U--89816
Asus Vivobook X M1603QA-MB511,579.0,PC-Gamer,https://pc-gamer.me/p/Asus-Vivobook-X-M1603QA-MB511--84309
Lenovo 83K20032YA,580.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-83K20032YA--113151
Lenovo V17 G4 IRU,581.3,PC-Gamer,https://pc-gamer.me/p/Lenovo-V17-G4-IRU--100557
ASUS X1605ZA-MB321,581.4,PC-Gamer,https://pc-gamer.me/p/ASUS-X1605ZA-MB321--84779
Asus Vivobook 15 X1504VA-BQ1648,590.0,PC-Gamer,https://pc-gamer.me/p/Asus-Vivobook-15-X1504VA-BQ1648--112349
HP 15-fc0002nm AMD Ryzen 5 7520U/512GB/16GB/15.6 FHD/Integrated/NoOS/Diamond white,595.6,PC-Gamer,https://pc-gamer.me/p/HP-15-fc0002nm-AMD-Ryzen-5-7520U-512GB-16GB-15-6-FHD-Integrated-NoOS-Diamond-white--111941
HP ProBook 455 G10 Ryzen 5-7530U 16GB 512GB,607.2,PC-Gamer,https://pc-gamer.me/p/HP-ProBook-455-G10-Ryzen-5-7530U-16GB-512GB--109721
Lenovo IdeaPad Slim 3 15IRH10 i5-13420H/512GB/8GB Soldered/UHDGraphics/15.3inch WUXGA/bcklit YU/NoOS,621.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IRH10-i5-13420H-512GB-8GB-Soldered-UHDGraphics-15-3inch-WUXGA-bcklit-YU-NoOS--112897
Lenovo IdeaPad Slim 3 15IRH8 83EM00EHYA,644.8,PC-Gamer,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IRH8-83EM00EHYA--110521
DELL Inspiron 3535 15.6 FHD AMD Ryzen 7 7730/16GB/1TB/120hz,686.2,PC-Gamer,https://pc-gamer.me/p/DELL-Inspiron-3535-15-6-FHD-AMD-Ryzen-7-7730-16GB-1TB-120hz--108084
HP 255 G10 9G1F9ET,690.0,PC-Gamer,https://pc-gamer.me/p/HP-255-G10-9G1F9ET--113181
Lenovo V15 G4 IRU Intel i7-1355U,691.3,PC-Gamer,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-Intel-i7-1355U--100556
HP ProBook 450 G10 i5-1334U 16GB,693.0,PC-Gamer,https://pc-gamer.me/p/HP-ProBook-450-G10-i5-1334U-16GB--109724
"Lenovo LOQ 15IAX9I, 83FQ003HYA",699.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-LOQ-15IAX9I-83FQ003HYA--105744
Lenovo ThinkBook 16 G7 Ultra 5 125U/8GB DDR5/256GB/16inch WUXGA IPS/IntelUHD/BacklitYu/NoOS/ArcticGrey,705.4,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkBook-16-G7-Ultra-5-125U-8GB-DDR5-256GB-16inch-WUXGA-IPS-IntelUHD-BacklitYu-NoOS-ArcticGrey--110256
Asus Vivobook 15 laptop M1502YA-BQ018,716.0,PC-Gamer,https://pc-gamer.me/p/Asus-Vivobook-15-laptop-M1502YA-BQ018--107257
HP ProBook 450 i5-1334U/512 GB/16GB DDR4 3200MT/s/NoOS/Pike silver aluminum/Backlit/15.6,718.3,PC-Gamer,https://pc-gamer.me/p/HP-ProBook-450-i5-1334U-512-GB-16GB-DDR4-3200MT-s-NoOS-Pike-silver-aluminum-Backlit-15-6--113047
NOT AS Vivobook Flip,719.0,PC-Gamer,https://pc-gamer.me/p/NOT-AS-Vivobook-Flip--107648
Acer A515-58GM-55V7 i5-13420H/16GB/512GB/2050,720.0,PC-Gamer,https://pc-gamer.me/p/Acer-A515-58GM-55V7-i5-13420H-16GB-512GB-2050--109129
Lenovo 83EM00ELYA,727.2,PC-Gamer,https://pc-gamer.me/p/Lenovo-83EM00ELYA--108408
Lenovo ThinkBook 14 G7 IML Ultra5 125U/16GB DDR5/512GB SSD/14inch WUXGA IPS/BacklitYU/NoOS/Grey,731.1,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkBook-14-G7-IML-Ultra5-125U-16GB-DDR5-512GB-SSD-14inch-WUXGA-IPS-BacklitYU-NoOS-Grey--107353
Lenovo 83J3002ERM,737.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-83J3002ERM--113148
Dell Vostro 3530 i7-1355U/16GB/512GB/15.6inch FHD 120Hz/IntelIris/Yu/NoOS,742.6,PC-Gamer,https://pc-gamer.me/p/Dell-Vostro-3530-i7-1355U-16GB-512GB-15-6inch-FHD-120Hz-IntelIris-Yu-NoOS--110320
HP 15-fd0018nm Intel Core i7-1355U/512GB/16GB/15.6 FHD/Integrated/NoOS/Natural Silver,743.9,PC-Gamer,https://pc-gamer.me/p/HP-15-fd0018nm-Intel-Core-i7-1355U-512GB-16GB-15-6-FHD-Integrated-NoOS-Natural-Silver--111943
DELL OEM Vostro 3530 15.6 inch FHD 120Hz i7-1355U 16GB 512G,744.0,PC-Gamer,https://pc-gamer.me/p/DELL-OEM-Vostro-3530-15-6-inch-FHD-120Hz-i7-1355U-16GB-512G--105160
ACER A515-58GM-55V7,749.0,PC-Gamer,https://pc-gamer.me/p/ACER-A515-58GM-55V7--105095
HP 250 G10 725G9EA,775.5,PC-Gamer,https://pc-gamer.me/p/HP-250-G10-725G9EA--113180
Lenovo 83GS00QRYA,788.8,PC-Gamer,https://pc-gamer.me/p/Lenovo-83GS00QRYA--113155
Lenovo ThinkBook 16 G6 IRL,801.6,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkBook-16-G6-IRL--101014
Lenovo 83HS0065YA,818.3,PC-Gamer,https://pc-gamer.me/p/Lenovo-83HS0065YA--113149
ACER ANV15-41-R5H1,841.0,PC-Gamer,https://pc-gamer.me/p/ACER-ANV15-41-R5H1--111595
"Lenovo LOQ 15ARP9 Ryzen5 7235HS / 24GB / 512GB / 15.6""FHD IPS 144Hz / RTX3050 6G",849.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-LOQ-15ARP9-Ryzen5-7235HS-24GB-512GB-15-6-FHD-IPS-144Hz-RTX3050-6G--107991
Lenovo 83DR006GYA,852.9,PC-Gamer,https://pc-gamer.me/p/Lenovo-83DR006GYA--113153
HP ProBook 460 G11 U5-125U / 16GB DDR5 / 512GB SSD / 16.0,896.0,PC-Gamer,https://pc-gamer.me/p/HP-ProBook-460-G11-U5-125U-16GB-DDR5-512GB-SSD-16-0--103934
"IdeaPad, IdeaPad 5 2-in-1 14IRU9",896.9,PC-Gamer,https://pc-gamer.me/p/IdeaPad-IdeaPad-5-2-in-1-14IRU9--105113
MSI MSI NB Katana GF66 12UDO-649XSI i7 / 16GB / 512GB,897.0,PC-Gamer,https://pc-gamer.me/p/MSI-MSI-NB-Katana-GF66-12UDO-649XSI-i7-16GB-512GB--110097
GIGABYTE G5 GE,899.0,PC-Gamer,https://pc-gamer.me/p/GIGABYTE-G5-GE--84435
HP Pavilion x360 14-ek1008nm i5-1335U/16GB/512GB SSD/14inch FHD IPS Touch MicroEdge/IntelIris/NoOS,910.7,PC-Gamer,https://pc-gamer.me/p/HP-Pavilion-x360-14-ek1008nm-i5-1335U-16GB-512GB-SSD-14inch-FHD-IPS-Touch-MicroEdge-IntelIris-NoOS--95839
ACER Nitro AN515 15.6 in,919.0,PC-Gamer,https://pc-gamer.me/p/ACER-Nitro-AN515-15-6-in--96152
Lenovo ThinkBook 16 Ultra 5 125U/512GB/16GB DDR5/16,923.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkBook-16-Ultra-5-125U-512GB-16GB-DDR5-16--112898
HP EliteBook 640 G11,935.0,PC-Gamer,https://pc-gamer.me/p/HP-EliteBook-640-G11--107071
Lenovo 83J6000DRM,935.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-83J6000DRM--111320
Asus TUF Gaming A15 FA506NC-HN012,939.0,PC-Gamer,https://pc-gamer.me/p/Asus-TUF-Gaming-A15-FA506NC-HN012--112346
HP Victus Gaming Laptop 15-fa1056nn i5-12450H/512GB/16GB/15.6,949.1,PC-Gamer,https://pc-gamer.me/p/HP-Victus-Gaming-Laptop-15-fa1056nn-i5-12450H-512GB-16GB-15-6--111950
Lenovo 83KX004YYA,955.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-83KX004YYA--113150
Lenovo ThinkBook 16 G7 IML 21MS004GYA,955.5,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkBook-16-G7-IML-21MS004GYA--110432
DELL Latitude 3450 14 inch FHD i5-1335U 8GB 512GB SSD B,962.0,PC-Gamer,https://pc-gamer.me/p/DELL-Latitude-3450-14-inch-FHD-i5-1335U-8GB-512GB-SSD-B--106411
ACER Nitro 5 AN515,981.0,PC-Gamer,https://pc-gamer.me/p/ACER-Nitro-5-AN515--87592
ACER Nitro V 15 ANV15-51-52ZL 15.6,999.2,PC-Gamer,https://pc-gamer.me/p/ACER-Nitro-V-15-ANV15-51-52ZL-15-6--100678
"Asus NB B2502CBA-BQ0383 15.6""/FHD/i5/16GB/256GB S",1005.0,PC-Gamer,https://pc-gamer.me/p/Asus-NB-B2502CBA-BQ0383-15-6-FHD-i5-16GB-256GB-S--93299
HP Pavilion x360 14-ek1003nm,1012.0,PC-Gamer,https://pc-gamer.me/p/HP-Pavilion-x360-14-ek1003nm---95838
HP ProBook 455 G10 R7-7730U,1025.0,PC-Gamer,https://pc-gamer.me/p/HP-ProBook-455-G10-R7-7730U--109722
HP Victus Gaming 16-r0026nm,1026.1,PC-Gamer,https://pc-gamer.me/p/HP-Victus-Gaming-16-r0026nm--99861
Lenovo LOQ 15IAX9 i5-12600HX/24GB DDR5/512GB/RTX4050/FHD IPS 144Hz,1029.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-LOQ-15IAX9-i5-12600HX-24GB-DDR5-512GB-RTX4050-FHD-IPS-144Hz--110254
HP Victus Gaming Laptop 15-fa0053nm i5-12450H/16GB DDR4/512GB/FHD 144hz/ RTX3050/Shiny silve,1038.9,PC-Gamer,https://pc-gamer.me/p/HP-Victus-Gaming-Laptop-15-fa0053nm-i5-12450H-16GB-DDR4-512GB-FHD-144hz-RTX3050-Shiny-silve--112363
Lenovo 83J00033YA,1047.9,PC-Gamer,https://pc-gamer.me/p/Lenovo-83J00033YA--113144
Acer Nitro ANV15-41-R1MY,1063.3,PC-Gamer,https://pc-gamer.me/p/Acer-Nitro-ANV15-41-R1MY--98564
Lenovo Think ThinkPad E14 Gen6 21M70042CX,1071.0,PC-Gamer,https://pc-gamer.me/p/Lenovo-Think-ThinkPad-E14-Gen6-21M70042CX--107822
Lenovo ThinkPad E16 Gen2 Ultra7 155H,1088.9,PC-Gamer,https://pc-gamer.me/p/Lenovo-ThinkPad-E16-Gen2-Ultra7-155H--105944
